server,port,short_name
10.1.216.16,443,wxia-sccmvm01
10.1.216.184,443,wxia-mediaproxy
10.1.217.97,443,10.1.217.97
10.1.226.72,443,wfmy-sccm03
10.1.236.111,443,wlbz-mediaproxy
10.1.236.42,443,10.1.236.42
10.1.237.135,443,wcsh-mediaproxy
10.1.7.44,443,wcsh-sccm01
10.1.86.92,443,ksdk-lcladdc02-rm
10.10.121.203,443,airmedia-confrm-204
10.10.121.204,443,airmedia-confrm-209
10.10.18.150,443,10.10.18.150
10.10.18.37,443,10.10.18.37
10.10.18.39,443,10.10.18.39
10.10.19.51,443,10.10.19.51
10.10.19.54,443,10.10.19.54
10.10.19.57,443,10.10.19.57
10.10.19.58,443,10.10.19.58
10.10.19.71,443,10.10.19.71
10.10.192.59,443,15044360
10.10.192.60,443,15044292
10.10.21.29,443,chyron_nas
10.10.210.208,443,wbns-enpsm
10.10.210.210,443,wbns-bccs01
10.10.210.211,443,wbns-bcmpoint01
10.10.210.213,443,wbns-bcmpoint02
10.10.210.216,443,wbns-bcoasis01
10.10.211.63,443,wbns-mediaproxy
10.10.23.100,443,10.10.23.100
10.10.26.117,443,10.10.26.117
10.10.26.118,443,10.10.26.118
10.10.26.160,443,wtlv-mediaproxy
10.10.35.25,443,kthv-sccmdp01
10.10.5.240,443,10.10.5.240
10.10.50.58,443,wbir-sysmgr
10.10.52.120,443,10.10.52.120
10.10.52.121,443,10.10.52.121
10.10.52.125,443,wbir-mediaproxy
10.10.52.57,443,wbir-sccmdp01
10.10.71.151,443,10.10.71.151
10.10.71.152,443,10.10.71.152
10.10.71.153,443,10.10.71.153
10.10.71.155,443,10.10.71.155
10.10.71.156,443,10.10.71.156
10.10.90.118,443,wbns-camio01
10.10.90.75,443,ovd50301052001
10.10.90.76,443,ovd50301052002
10.10.91.49,443,wbns-x2s01
10.10.91.56,443,wbns-x2s02
10.102.11.11,443,ktvb-bccs01
10.102.11.12,443,ktvb-oas01
10.102.11.13,443,ktvb-mp01
10.102.11.14,443,ktvb-mp02
10.102.202.32,443,ktvb-camio01
10.102.210.115,443,ktvb-sccmdp01
10.102.210.253,443,10.102.210.253
10.102.210.71,443,ktvb-mediaproxy
10.102.210.91,443,ktvb-lcladdc01-rm
10.102.210.92,443,ktvb-lcladdc02-rm
10.104.100.234,443,10.104.100.234
10.104.100.235,443,10.104.100.235
10.104.100.246,443,10.104.100.246
10.104.120.145,443,10.104.120.145
10.106.211.142,443,10.106.211.142
10.106.211.147,443,10.106.211.147
10.106.211.15,443,kmsb-mediaproxy
10.106.211.152,443,10.106.211.152
10.107.211.12,443,10.107.211.12
10.108.142.140,443,wcnc-bccs01
10.108.142.170,443,wcnc-oas01
10.108.142.183,443,wcnc-bcmp01
10.108.142.184,443,wcnc-bcmp02
10.108.204.130,443,wcnc-camio-svr1
10.108.210.100,443,wcnc-enpsweb
10.108.210.24,443,wcnc-sccmdp01
10.108.210.80,443,wcnc-mediaproxy
10.108.253.190,443,10.108.253.190
10.108.253.20,443,10.108.253.20
10.108.253.37,443,10.108.253.37
10.111.141.201,443,10.111.141.201
10.111.141.202,443,10.111.141.202
10.111.141.203,443,10.111.141.203
10.111.141.204,443,10.111.141.204
10.111.141.205,443,10.111.141.205
10.111.141.206,443,10.111.141.206
10.111.141.207,443,10.111.141.207
10.111.141.208,443,10.111.141.208
10.111.141.209,443,10.111.141.209
10.111.141.210,443,10.111.141.210
10.111.142.111,443,10.111.142.111
10.111.143.120,443,10.111.143.120
10.111.143.90,443,10.111.143.90
10.111.41.140,443,kpnx-snapcloud
10.111.41.160,443,kpnx-mediaproxy
10.113.54.3,443,wnep-mediaproxy
10.113.55.210,443,prod-printer
10.113.56.31,443,dev27542d
10.119.10.10,443,wtol-bccs01
10.119.10.11,443,wtol-bcmpoint01
10.119.10.12,443,wtol-bcmpoint02
10.119.10.13,443,wtol-oasis01
10.119.12.141,443,10.119.12.141
10.119.12.183,443,10.119.12.183
10.119.12.241,443,10.119.12.241
10.119.12.250,443,10.119.12.250
10.119.13.26,443,10.119.13.26
10.119.250.26,443,kwes-lclsccm02
10.119.250.9,443,kwes-mediaproxy
10.12.100.48,443,wkyc-lclsccm
10.12.195.158,443,10.12.195.158
10.12.195.161,443,10.12.195.161
10.12.195.171,443,10.12.195.171
10.12.195.175,443,10.12.195.175
10.12.199.26,443,10.12.199.26
10.12.199.31,443,10.12.199.31
10.12.199.61,443,kxtv-sccmdp01
10.12.201.135,443,10.12.201.135
10.12.201.160,443,kxtv-mediaproxy
10.12.201.175,443,10.12.201.175
10.12.201.225,443,kxtv-newskvm01
10.12.84.30,443,ksdk-enpsmobi02
10.12.84.8,443,ksdk-mediaproxy
10.120.100.40,443,kidy-lclsccm01
10.120.255.52,443,kfmb-lcladdc02-rm
10.120.41.13,443,kidy-bces01
10.120.41.14,443,kidy-bcoasis01
10.120.41.15,443,kidy-bcmpoint01
10.120.41.20,443,kidy-enpsmobile
10.120.41.210,443,kidy-mediaproxy
10.120.41.27,443,kidy-camio
10.120.41.91,443,kidy-lcladdc01-rm
10.120.58.114,443,10.120.58.114
10.120.59.112,443,10.120.59.112
10.120.59.15,443,km8ab4cb
10.120.59.156,443,10.120.59.156
10.120.59.54,443,kytx-mediaproxy
10.120.59.84,443,kytx-sccmdp02
10.120.60.17,443,kytx-bcoasis01
10.120.60.18,443,kytx-mp21
10.120.71.203,443,kbmt-sccm19
10.120.71.228,443,10.120.71.228
10.120.71.27,443,kbmt-enpsmobile
10.120.71.33,443,kbmt-mediaproxy
10.120.71.80,443,kbmt-bccs01
10.120.82.68,443,10.120.82.68
10.120.82.69,443,10.120.82.69
10.120.82.75,443,10.120.82.75
10.120.84.24,443,kiii-fs2
10.122.132.10,443,khou-lclsccm01
10.122.132.220,443,10.122.132.220
10.122.132.37,443,khou-mediaproxy
10.122.132.51,443,khou-lcladdc01-rm
10.122.132.52,443,khou-lcladdc02-rm
10.122.133.100,443,10.122.133.100
10.122.133.101,443,10.122.133.101
10.122.133.102,443,10.122.133.102
10.122.32.12,443,kcen-sw02
10.122.34.10,443,kcen-sccmdp01
10.122.34.121,443,10.122.34.121
10.122.34.124,443,kcen-bcpta02
10.122.34.125,443,kcen-bcenc01
10.122.34.133,443,10.122.34.133
10.122.34.175,443,kcen-bccs01
10.122.34.191,443,kcen-lcladdc01-rm
10.122.34.192,443,kcen-lcladdc02-rm
10.122.34.195,443,kcen-bcoasis01
10.122.34.92,443,10.122.34.92
10.122.56.198,443,cmch-buaas01-rm
10.122.56.45,443,10.122.56.45
10.122.56.8,443,10.122.56.8
10.122.58.32,443,cmch-user30
10.123.102.11,443,king-bccs01
10.123.102.12,443,king-oasis01
10.123.102.13,443,king-mp01
10.123.102.14,443,king-mp02
10.123.102.15,443,king-mp03
10.123.102.16,443,king-mp04
10.123.240.2,443,10.123.240.2
10.123.80.173,443,10.123.80.173
10.123.80.180,443,king-camio
10.123.80.64,443,king-mediaproxy
10.123.92.200,443,10.123.92.200
10.123.98.18,443,king-sccmdp01
10.123.98.91,443,king-lcladdc01-rm
10.124.1.11,443,10.124.1.11
